country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Firozabad,"Vibhab Nagar, Firozabad - UPPCB","04-09-2025 21:00:00",27.1594,78.3953,PM10,7,46,26
India,Uttar_Pradesh,Ghaziabad,"Loni, Ghaziabad - UPPCB","04-09-2025 21:00:00",28.757294,77.278792,CO,40,84,65
India,Uttar_Pradesh,Ghaziabad,"Sanjay Nagar, Ghaziabad - UPPCB","04-09-2025 21:00:00",28.685382,77.453839,PM10,NA,NA,NA
India,Uttar_Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB","04-09-2025 21:00:00",28.999264,77.7590354,SO2,NA,NA,NA
India,Uttar_Pradesh,Meerut,"Ganga Nagar, Meerut - UPPCB","04-09-2025 21:00:00",28.999264,77.7590354,CO,NA,NA,NA
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","04-09-2025 21:00:00",29.063510,77.709723,NH3,1,3,1
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB","04-09-2025 21:00:00",26.83399722,80.8917361,OZONE,9,53,38
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","04-09-2025 21:00:00",28.88528,78.73880,PM2.5,48,143,85
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB","04-09-2025 21:00:00",27.5714090,77.6557570,SO2,7,17,10
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB","04-09-2025 21:00:00",27.5714090,77.6557570,OZONE,15,16,15
India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB","04-09-2025 21:00:00",29.2124114,78.9611753,PM2.5,12,53,31
India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur - UKPCB","04-09-2025 21:00:00",29.2124114,78.9611753,NO2,4,11,9
India,West_Bengal,Asansol,"Asansol Court Area, Asansol - WBPCB","04-09-2025 21:00:00",23.685297,86.945968,NH3,4,21,8
India,West_Bengal,Asansol,"Evelyn Lodge, Asansol - WBPCB","04-09-2025 21:00:00",23.6979360,86.9443950,OZONE,7,27,19
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB","04-09-2025 21:00:00",23.5087640,87.3544400,NO2,NA,NA,NA
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB (Formerly known as Sidhu Kanhu Indoor Stadium)","04-09-2025 21:00:00",23.549395,87.300496,SO2,24,34,28
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB","04-09-2025 21:00:00",22.06047,88.109737,PM10,16,35,21
India,West_Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB","04-09-2025 21:00:00",22.06047,88.109737,NH3,4,5,4
India,West_Bengal,Howrah,"Belur Math, Howrah - WBPCB","04-09-2025 21:00:00",22.629801,88.352017,OZONE,15,24,19
India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB","04-09-2025 21:00:00",23.616515,87.119133,NH3,1,1,1
India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol - WBPCB","04-09-2025 21:00:00",23.616515,87.119133,CO,46,88,57
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB","04-09-2025 21:00:00",22.7605581,88.3617589,PM2.5,6,30,13
India,West_Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB","04-09-2025 21:00:00",22.7605581,88.3617589,NO2,9,20,14
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB","04-09-2025 21:00:00",23.567923,87.306843,CO,32,62,40
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB","04-09-2025 21:00:00",23.5087640,87.3544400,PM2.5,NA,NA,NA
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB","04-09-2025 21:00:00",28.569230,77.393848,PM10,16,60,39
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB","04-09-2025 21:00:00",28.569230,77.393848,SO2,7,18,13
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB","04-09-2025 21:00:00",28.569230,77.393848,OZONE,7,65,43
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB","04-09-2025 21:00:00",25.425602,81.917152,NO2,5,6,6
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB","04-09-2025 21:00:00",25.425602,81.917152,SO2,29,47,32
India,Uttar_Pradesh,Prayagraj,"Jhunsi, Prayagraj - UPPCB","04-09-2025 21:00:00",25.425602,81.917152,OZONE,2,21,9
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB","04-09-2025 21:00:00","25.44919916 ","81.82735986 ",PM10,11,39,28
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj - UPPCB","04-09-2025 21:00:00","25.44919916 ","81.82735986 ",OZONE,13,26,17
India,Uttar_Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB","04-09-2025 21:00:00",25.3505986,82.9083074,CO,6,18,11
India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB","04-09-2025 21:00:00",25.301778,82.996789,PM2.5,5,34,16
India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB","04-09-2025 21:00:00",25.301778,82.996789,CO,4,19,13
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB","04-09-2025 21:00:00",25.32393,82.99687,OZONE,2,3,2
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB","04-09-2025 21:00:00",22.5367507,88.3638022,OZONE,13,19,16
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB","04-09-2025 21:00:00",22.58157048,88.41002457,PM2.5,15,18,16
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB","04-09-2025 21:00:00",22.58157048,88.41002457,SO2,6,9,7
