datetime,city,location,latitude,longitude,pollutant,value
2025-09-02 14:00:00+00:00,Hyderabad,Hyderabad,17.385,78.4867,PM10,25.8
2025-09-02 15:00:00+00:00,Ahmedabad,Ahmedabad,23.0225,72.5714,NO2,47.4
2025-09-02 15:00:00+00:00,Lucknow,Lucknow,26.8467,80.9462,PM2.5,31.5
2025-09-02 15:00:00+00:00,Pune,Pune,18.5204,73.8567,SO2,9.3
2025-09-02 15:00:00+00:00,Pune,Pune,18.5204,73.8567,NO2,12.6
2025-09-02 15:00:00+00:00,Kolkata,Kolkata,22.5726,88.3639,NO2,12.0
2025-09-02 15:00:00+00:00,Delhi,Delhi,28.6139,77.209,SO2,17.3
2025-09-02 15:00:00+00:00,Jaipur,Jaipur,26.9124,75.7873,PM2.5,39.8
2025-09-02 15:00:00+00:00,Bengaluru,Bengaluru,12.9716,77.5946,SO2,6.4
2025-09-02 15:00:00+00:00,Hyderabad,Hyderabad,17.385,78.4867,OZONE,49.0
2025-09-02 15:00:00+00:00,Bengaluru,Bengaluru,12.9716,77.5946,PM10,11.4
2025-09-02 15:00:00+00:00,Hyderabad,Hyderabad,17.385,78.4867,PM10,23.7
2025-09-02 15:00:00+00:00,Delhi,Delhi,28.6139,77.209,NO2,29.2
2025-09-02 15:00:00+00:00,Jaipur,Jaipur,26.9124,75.7873,CO,541.0
2025-09-02 15:00:00+00:00,Delhi,Delhi,28.6139,77.209,CO,710.0
2025-09-02 15:00:00+00:00,Bengaluru,Bengaluru,12.9716,77.5946,PM2.5,8.6
2025-09-02 15:00:00+00:00,Lucknow,Lucknow,26.8467,80.9462,CO,556.0
2025-09-02 15:00:00+00:00,Pune,Pune,18.5204,73.8567,PM10,20.7
2025-09-02 15:00:00+00:00,Hyderabad,Hyderabad,17.385,78.4867,SO2,6.1
2025-09-02 15:00:00+00:00,Pune,Pune,18.5204,73.8567,PM2.5,12.7
2025-09-02 15:00:00+00:00,Bengaluru,Bengaluru,12.9716,77.5946,OZONE,39.0
2025-09-02 15:00:00+00:00,Chennai,Chennai,13.0827,80.2707,SO2,6.5
2025-09-02 15:00:00+00:00,Kolkata,Kolkata,22.5726,88.3639,OZONE,37.0
2025-09-02 15:00:00+00:00,Kolkata,Kolkata,22.5726,88.3639,SO2,6.5
2025-09-02 15:00:00+00:00,Mumbai,Mumbai,19.076,72.8777,CO,311.0
2025-09-02 15:00:00+00:00,Lucknow,Lucknow,26.8467,80.9462,OZONE,71.0
2025-09-02 15:00:00+00:00,Bengaluru,Bengaluru,12.9716,77.5946,NO2,16.1
2025-09-02 15:00:00+00:00,Ahmedabad,Ahmedabad,23.0225,72.5714,OZONE,19.0
2025-09-02 15:00:00+00:00,Chennai,Chennai,13.0827,80.2707,CO,337.0
2025-09-02 15:00:00+00:00,Lucknow,Lucknow,26.8467,80.9462,NO2,14.2
2025-09-02 15:00:00+00:00,Ahmedabad,Ahmedabad,23.0225,72.5714,PM2.5,44.7
2025-09-02 15:00:00+00:00,Kolkata,Kolkata,22.5726,88.3639,PM10,12.1
2025-09-02 15:00:00+00:00,Jaipur,Jaipur,26.9124,75.7873,OZONE,43.0
2025-09-02 15:00:00+00:00,Jaipur,Jaipur,26.9124,75.7873,SO2,9.4
2025-09-02 15:00:00+00:00,Hyderabad,Hyderabad,17.385,78.4867,PM2.5,18.0
2025-09-02 15:00:00+00:00,Bengaluru,Bengaluru,12.9716,77.5946,CO,408.0
2025-09-02 15:00:00+00:00,Pune,Pune,18.5204,73.8567,OZONE,38.0
2025-09-02 15:00:00+00:00,Chennai,Chennai,13.0827,80.2707,OZONE,55.0
2025-09-02 15:00:00+00:00,Mumbai,Mumbai,19.076,72.8777,OZONE,40.0
2025-09-02 15:00:00+00:00,Hyderabad,Hyderabad,17.385,78.4867,CO,391.0
2025-09-02 15:00:00+00:00,Ahmedabad,Ahmedabad,23.0225,72.5714,PM10,86.1
2025-09-02 15:00:00+00:00,Mumbai,Mumbai,19.076,72.8777,PM2.5,20.3
2025-09-02 15:00:00+00:00,Delhi,Delhi,28.6139,77.209,OZONE,56.0
2025-09-02 15:00:00+00:00,Pune,Pune,18.5204,73.8567,CO,193.0
2025-09-02 15:00:00+00:00,Jaipur,Jaipur,26.9124,75.7873,NO2,53.4
2025-09-02 15:00:00+00:00,Chennai,Chennai,13.0827,80.2707,NO2,26.6
2025-09-02 15:00:00+00:00,Lucknow,Lucknow,26.8467,80.9462,SO2,9.0
2025-09-02 15:00:00+00:00,Hyderabad,Hyderabad,17.385,78.4867,NO2,15.6
2025-09-02 15:00:00+00:00,Kolkata,Kolkata,22.5726,88.3639,CO,271.0
2025-09-02 15:00:00+00:00,Mumbai,Mumbai,19.076,72.8777,PM10,40.5
2025-09-02 15:00:00+00:00,Mumbai,Mumbai,19.076,72.8777,SO2,14.9
2025-09-02 15:00:00+00:00,Chennai,Chennai,13.0827,80.2707,PM10,34.1
2025-09-02 15:00:00+00:00,Ahmedabad,Ahmedabad,23.0225,72.5714,SO2,11.5
2025-09-02 15:00:00+00:00,Chennai,Chennai,13.0827,80.2707,PM2.5,21.5
2025-09-02 15:00:00+00:00,Ahmedabad,Ahmedabad,23.0225,72.5714,CO,464.0
2025-09-02 15:00:00+00:00,Lucknow,Lucknow,26.8467,80.9462,PM10,31.5
2025-09-02 15:00:00+00:00,Delhi,Delhi,28.6139,77.209,PM2.5,26.8
2025-09-02 15:00:00+00:00,Jaipur,Jaipur,26.9124,75.7873,PM10,42.4
2025-09-02 15:00:00+00:00,Delhi,Delhi,28.6139,77.209,PM10,27.2
2025-09-02 15:00:00+00:00,Mumbai,Mumbai,19.076,72.8777,NO2,10.9
2025-09-02 15:00:00+00:00,Kolkata,Kolkata,22.5726,88.3639,PM2.5,11.1
2025-09-02 16:00:00+00:00,Hyderabad,Hyderabad,17.385,78.4867,SO2,5.6
2025-09-02 16:00:00+00:00,Jaipur,Jaipur,26.9124,75.7873,PM10,41.7
2025-09-02 16:00:00+00:00,Jaipur,Jaipur,26.9124,75.7873,CO,573.0
2025-09-02 16:00:00+00:00,Bengaluru,Bengaluru,12.9716,77.5946,PM10,11.9
2025-09-02 16:00:00+00:00,Lucknow,Lucknow,26.8467,80.9462,OZONE,71.0
2025-09-02 16:00:00+00:00,Ahmedabad,Ahmedabad,23.0225,72.5714,PM2.5,41.6
2025-09-02 16:00:00+00:00,Mumbai,Mumbai,19.076,72.8777,PM2.5,20.1
2025-09-02 16:00:00+00:00,Chennai,Chennai,13.0827,80.2707,PM2.5,17.1
2025-09-02 16:00:00+00:00,Pune,Pune,18.5204,73.8567,NO2,12.3
2025-09-02 16:00:00+00:00,Jaipur,Jaipur,26.9124,75.7873,SO2,9.3
2025-09-02 16:00:00+00:00,Delhi,Delhi,28.6139,77.209,OZONE,59.0
2025-09-02 16:00:00+00:00,Chennai,Chennai,13.0827,80.2707,OZONE,46.0
2025-09-02 16:00:00+00:00,Bengaluru,Bengaluru,12.9716,77.5946,PM2.5,8.1
2025-09-02 16:00:00+00:00,Hyderabad,Hyderabad,17.385,78.4867,PM2.5,17.2
2025-09-02 16:00:00+00:00,Delhi,Delhi,28.6139,77.209,PM10,27.4
2025-09-02 16:00:00+00:00,Chennai,Chennai,13.0827,80.2707,NO2,26.3
2025-09-02 16:00:00+00:00,Hyderabad,Hyderabad,17.385,78.4867,CO,348.0
2025-09-02 16:00:00+00:00,Jaipur,Jaipur,26.9124,75.7873,OZONE,34.0
2025-09-02 16:00:00+00:00,Pune,Pune,18.5204,73.8567,OZONE,36.0
2025-09-02 16:00:00+00:00,Ahmedabad,Ahmedabad,23.0225,72.5714,NO2,43.3
2025-09-02 16:00:00+00:00,Kolkata,Kolkata,22.5726,88.3639,PM2.5,10.9
2025-09-02 16:00:00+00:00,Lucknow,Lucknow,26.8467,80.9462,SO2,9.2
2025-09-02 16:00:00+00:00,Bengaluru,Bengaluru,12.9716,77.5946,CO,364.0
2025-09-02 16:00:00+00:00,Hyderabad,Hyderabad,17.385,78.4867,NO2,13.7
2025-09-02 16:00:00+00:00,Ahmedabad,Ahmedabad,23.0225,72.5714,PM10,78.2
2025-09-02 16:00:00+00:00,Ahmedabad,Ahmedabad,23.0225,72.5714,CO,485.0
2025-09-02 16:00:00+00:00,Jaipur,Jaipur,26.9124,75.7873,NO2,54.0
2025-09-02 16:00:00+00:00,Mumbai,Mumbai,19.076,72.8777,PM10,41.0
2025-09-02 16:00:00+00:00,Chennai,Chennai,13.0827,80.2707,PM10,27.0
2025-09-02 16:00:00+00:00,Kolkata,Kolkata,22.5726,88.3639,CO,254.0
2025-09-02 16:00:00+00:00,Pune,Pune,18.5204,73.8567,PM2.5,13.4
2025-09-02 16:00:00+00:00,Lucknow,Lucknow,26.8467,80.9462,CO,526.0
2025-09-02 16:00:00+00:00,Delhi,Delhi,28.6139,77.209,SO2,16.7
2025-09-02 16:00:00+00:00,Lucknow,Lucknow,26.8467,80.9462,NO2,14.0
2025-09-02 16:00:00+00:00,Kolkata,Kolkata,22.5726,88.3639,NO2,11.2
2025-09-02 16:00:00+00:00,Hyderabad,Hyderabad,17.385,78.4867,PM10,22.5
2025-09-02 16:00:00+00:00,Ahmedabad,Ahmedabad,23.0225,72.5714,OZONE,19.0
2025-09-02 16:00:00+00:00,Mumbai,Mumbai,19.076,72.8777,CO,298.0
2025-09-02 16:00:00+00:00,Bengaluru,Bengaluru,12.9716,77.5946,NO2,15.1
2025-09-02 16:00:00+00:00,Chennai,Chennai,13.0827,80.2707,CO,342.0
2025-09-02 16:00:00+00:00,Kolkata,Kolkata,22.5726,88.3639,SO2,5.9
2025-09-02 16:00:00+00:00,Pune,Pune,18.5204,73.8567,SO2,8.7
2025-09-02 16:00:00+00:00,Pune,Pune,18.5204,73.8567,PM10,22.9
2025-09-02 16:00:00+00:00,Kolkata,Kolkata,22.5726,88.3639,PM10,12.0
2025-09-02 16:00:00+00:00,Mumbai,Mumbai,19.076,72.8777,SO2,15.0
2025-09-02 16:00:00+00:00,Chennai,Chennai,13.0827,80.2707,SO2,6.8
2025-09-02 16:00:00+00:00,Delhi,Delhi,28.6139,77.209,PM2.5,26.8
2025-09-02 16:00:00+00:00,Delhi,Delhi,28.6139,77.209,NO2,26.8
2025-09-02 16:00:00+00:00,Ahmedabad,Ahmedabad,23.0225,72.5714,SO2,11.2
2025-09-02 16:00:00+00:00,Bengaluru,Bengaluru,12.9716,77.5946,SO2,6.1
2025-09-02 16:00:00+00:00,Jaipur,Jaipur,26.9124,75.7873,PM2.5,39.3
2025-09-02 16:00:00+00:00,Lucknow,Lucknow,26.8467,80.9462,PM10,31.4
2025-09-02 16:00:00+00:00,Hyderabad,Hyderabad,17.385,78.4867,OZONE,52.0
2025-09-02 16:00:00+00:00,Pune,Pune,18.5204,73.8567,CO,189.0
2025-09-02 16:00:00+00:00,Mumbai,Mumbai,19.076,72.8777,NO2,10.2
2025-09-02 16:00:00+00:00,Bengaluru,Bengaluru,12.9716,77.5946,OZONE,36.0
2025-09-02 16:00:00+00:00,Delhi,Delhi,28.6139,77.209,CO,685.0
2025-09-02 16:00:00+00:00,Lucknow,Lucknow,26.8467,80.9462,PM2.5,31.4
2025-09-02 16:00:00+00:00,Mumbai,Mumbai,19.076,72.8777,OZONE,40.0
2025-09-02 16:00:00+00:00,Kolkata,Kolkata,22.5726,88.3639,OZONE,39.0
2025-09-02 17:00:00+00:00,Hyderabad,Hyderabad,17.385,78.4867,PM10,20.3
2025-09-02 17:00:00+00:00,Kolkata,Kolkata,22.5726,88.3639,SO2,4.8
2025-09-02 17:00:00+00:00,Delhi,Delhi,28.6139,77.209,SO2,15.6
2025-09-02 17:00:00+00:00,Delhi,Delhi,28.6139,77.209,CO,636.0
2025-09-02 17:00:00+00:00,Mumbai,Mumbai,19.076,72.8777,CO,268.0
2025-09-02 17:00:00+00:00,Pune,Pune,18.5204,73.8567,CO,180.0
2025-09-02 17:00:00+00:00,Lucknow,Lucknow,26.8467,80.9462,CO,462.0
2025-09-02 17:00:00+00:00,Mumbai,Mumbai,19.076,72.8777,SO2,15.0
2025-09-02 17:00:00+00:00,Ahmedabad,Ahmedabad,23.0225,72.5714,OZONE,27.0
2025-09-02 17:00:00+00:00,Jaipur,Jaipur,26.9124,75.7873,PM2.5,36.8
2025-09-02 17:00:00+00:00,Hyderabad,Hyderabad,17.385,78.4867,SO2,4.9
2025-09-02 17:00:00+00:00,Bengaluru,Bengaluru,12.9716,77.5946,PM2.5,7.5
2025-09-02 17:00:00+00:00,Mumbai,Mumbai,19.076,72.8777,NO2,9.1
2025-09-02 17:00:00+00:00,Jaipur,Jaipur,26.9124,75.7873,CO,594.0
2025-09-02 17:00:00+00:00,Kolkata,Kolkata,22.5726,88.3639,PM10,10.7
2025-09-02 17:00:00+00:00,Delhi,Delhi,28.6139,77.209,PM10,26.4
2025-09-02 17:00:00+00:00,Kolkata,Kolkata,22.5726,88.3639,OZONE,42.0
2025-09-02 17:00:00+00:00,Lucknow,Lucknow,26.8467,80.9462,PM2.5,31.2
2025-09-02 17:00:00+00:00,Ahmedabad,Ahmedabad,23.0225,72.5714,PM2.5,35.4
2025-09-02 17:00:00+00:00,Pune,Pune,18.5204,73.8567,NO2,10.9
2025-09-02 17:00:00+00:00,Bengaluru,Bengaluru,12.9716,77.5946,PM10,11.7
2025-09-02 17:00:00+00:00,Jaipur,Jaipur,26.9124,75.7873,OZONE,33.0
2025-09-02 17:00:00+00:00,Chennai,Chennai,13.0827,80.2707,SO2,7.4
2025-09-02 17:00:00+00:00,Pune,Pune,18.5204,73.8567,PM10,18.9
2025-09-02 17:00:00+00:00,Kolkata,Kolkata,22.5726,88.3639,PM2.5,9.6
2025-09-02 17:00:00+00:00,Delhi,Delhi,28.6139,77.209,NO2,23.7
2025-09-02 17:00:00+00:00,Bengaluru,Bengaluru,12.9716,77.5946,OZONE,35.0
2025-09-02 17:00:00+00:00,Chennai,Chennai,13.0827,80.2707,CO,340.0
2025-09-02 17:00:00+00:00,Jaipur,Jaipur,26.9124,75.7873,NO2,48.0
2025-09-02 17:00:00+00:00,Bengaluru,Bengaluru,12.9716,77.5946,NO2,13.0
2025-09-02 17:00:00+00:00,Hyderabad,Hyderabad,17.385,78.4867,CO,315.0
2025-09-02 17:00:00+00:00,Ahmedabad,Ahmedabad,23.0225,72.5714,NO2,32.2
2025-09-02 17:00:00+00:00,Ahmedabad,Ahmedabad,23.0225,72.5714,PM10,64.3
2025-09-02 17:00:00+00:00,Pune,Pune,18.5204,73.8567,PM2.5,12.4
2025-09-02 17:00:00+00:00,Lucknow,Lucknow,26.8467,80.9462,SO2,9.1
2025-09-02 17:00:00+00:00,Lucknow,Lucknow,26.8467,80.9462,PM10,31.2
